file,accuracy,mean_prob_correct,median_prob_correct,epoch
results_origin_finetuning_10_sora.csv,0.731,0.941485020519836,0.99605,10
results_origin_finetuning_10_sora.csv,0.731,0.941485020519836,0.99605,10
results_origin_finetuning_11_sora.csv,0.8415,0.9595253119429592,0.9991,11
results_origin_finetuning_12_sora.csv,0.752,0.944445079787234,0.9966,12
results_origin_finetuning_13_sora.csv,0.712,0.9376595505617976,0.9959,13
results_origin_finetuning_14_sora.csv,0.7825,0.94338607028754,0.9968,14
results_origin_finetuning_15_sora.csv,0.6965,0.9252565685570712,0.9897,15
results_origin_finetuning_16_sora.csv,0.7285,0.9400111187371312,0.9961,16
results_origin_finetuning_17_sora.csv,0.739,0.9412065629228684,0.9978,17
results_origin_finetuning_18_sora.csv,0.7855,0.9445217059197965,0.9983,18
results_origin_finetuning_19_sora.csv,0.789,0.9452684410646388,0.9966,19
results_origin_finetuning_20_sora.csv,0.812,0.9518836206896552,0.9986,20
results_origin_finetuning_21_sora.csv,0.686,0.9366489795918368,0.99645,21
results_origin_finetuning_22_sora.csv,0.781,0.9452992957746478,0.9978,22
results_origin_finetuning_23_sora.csv,0.7735,0.9427290239172592,0.9966,23
results_origin_finetuning_24_sora.csv,0.7995,0.9546575359599752,0.9991,24
results_origin_finetuning_25_sora.csv,0.6635,0.928393217784476,0.994,25
